response,td,smp,beta
medNg0,5,13002,NA
medNg0,5,14446,1.0001278550439672
medNg0,5,15891,1.0002519404952785
medNg0,5,17335,1.0008054832137905
medNg0,5,18780,1.0002527525396967
medNg0,5,20225,1.0006118876259538
medNg0,5,21669,1.0000210546767436
medNg0,5,23114,1.0002463047776833
medNg0,5,24558,1.000018169574476
medNg0,5,26003,1.0001760666566368
meanNg0,1,13002,NA
meanNg0,1,14446,1.0003707221719984
meanNg0,1,15891,1.00082206922798
meanNg0,1,17335,1.0001256216865246
meanNg0,1,18780,1.0002151532566352
meanNg0,1,20225,1.0000008510431786
meanNg0,1,21669,1.0000025201637552
meanNg0,1,23114,1.0000039050189895
meanNg0,1,24558,1.0000000558049205
meanNg0,1,26003,1.000129204736289
meanNg0,3,13002,NA
meanNg0,3,14446,1.0000277019112114
meanNg0,3,15891,1.0000001339578228
meanNg0,3,17335,1.0000002136985788
meanNg0,3,18780,1.0000000152709094
meanNg0,3,20225,1.000840110111256
meanNg0,3,21669,1.0008052663979567
meanNg0,3,23114,1.0000079244487368
meanNg0,3,24558,1.0000125846705021
meanNg0,3,26003,1.0000013017183687
meanNg0,5,13002,NA
meanNg0,5,14446,1.000303181932721
meanNg0,5,15891,1.0000418226530787
meanNg0,5,17335,1.0000229521677868
meanNg0,5,18780,1.0000971918114259
meanNg0,5,20225,1.0000268797146386
meanNg0,5,21669,1.0000226948628532
meanNg0,5,23114,1.0000329548773945
meanNg0,5,24558,1.0000014027799327
meanNg0,5,26003,1.000043594962892
sdNg0,1,13002,NA
sdNg0,1,14446,1
sdNg0,1,15891,1
sdNg0,1,17335,1
sdNg0,1,18780,1
sdNg0,1,20225,1
sdNg0,1,21669,1
sdNg0,1,23114,1
sdNg0,1,24558,1
sdNg0,1,26003,1
sdNg0,3,13002,NA
sdNg0,3,14446,1.00065136312916
sdNg0,3,15891,1.0008921842293834
sdNg0,3,17335,1.0000008606447315
sdNg0,3,18780,1.0004626627592563
sdNg0,3,20225,1.0000001032588872
sdNg0,3,21669,1.0000876890691868
sdNg0,3,23114,1.0000925749115246
sdNg0,3,24558,1.0001816320097872
sdNg0,3,26003,1.0002035503954163
sdNg0,5,13002,NA
sdNg0,5,14446,1.000140912008145
sdNg0,5,15891,1.0001007098386483
sdNg0,5,17335,1.000033290375851
sdNg0,5,18780,1.0000517949759973
sdNg0,5,20225,1.0000053255909225
sdNg0,5,21669,1.0000169854661682
sdNg0,5,23114,1.0000347920852528
sdNg0,5,24558,1.0000187588948317
sdNg0,5,26003,1.000002759231478
