response,td,smp,param,rel.inf
pOcc,1,17335,gamma,9.88033282527668e-4
pOcc,1,17335,K,8.911091681720613e-5
pOcc,1,17335,m,0.3643352170010799
pOcc,1,17335,mu,0.019894902599838272
pOcc,1,17335,N.0,4.1891723336998035e-5
pOcc,1,17335,n.ldd,0.4763940921425784
pOcc,1,17335,p,0.007858212059793219
pOcc,1,17335,p.c,0.001170077083112168
pOcc,1,17335,p.f,0.011073186159554898
pOcc,1,17335,s.B,0.007865614009168763
pOcc,1,17335,s.c,0.002316869112198186
pOcc,1,17335,s.M,0.039224086181001885
pOcc,1,17335,s.N,2.2547405448402174e-4
pOcc,1,17335,sdd.max,0
pOcc,1,17335,sdd.rate,0.0503163389969959
pOcc,1,18780,bird.hab,3.260304861313084e-4
pOcc,1,18780,g.B,0.017749527498965724
pOcc,1,18780,gamma,9.097754617082616e-4
pOcc,1,18780,K,4.281370579055975e-5
pOcc,1,18780,m,0.3612407289010603
pOcc,1,18780,mu,0.019721227109060963
pOcc,1,18780,N.0,2.6739468619798845e-5
pOcc,1,18780,n.ldd,0.47837747478742043
pOcc,1,18780,p,0.008268600919687242
pOcc,1,18780,p.c,9.133640927066999e-4
pOcc,1,18780,p.f,0.011182284672977891
pOcc,1,18780,s.B,0.008242959745417411
pOcc,1,18780,s.c,0.0022434564526808585
pOcc,1,18780,s.M,0.03945154862857413
pOcc,1,18780,s.N,2.316516784060964e-4
pOcc,1,18780,sdd.max,1.2670830032960687e-5
pOcc,1,18780,sdd.rate,0.051059145560759356
pOcc,1,20225,bird.hab,3.338616703852136e-4
pOcc,1,20225,g.B,0.017413811365795374
pOcc,1,20225,gamma,9.244848128086955e-4
pOcc,1,20225,K,3.73238092483749e-6
pOcc,1,20225,m,0.36384527207520034
pOcc,1,20225,mu,0.01906521908550025
pOcc,1,20225,N.0,1.1349357957675964e-4
pOcc,1,20225,n.ldd,0.47907801019272717
pOcc,1,20225,p,0.007797245864167276
pOcc,1,20225,p.c,0.0012060484645529958
pOcc,1,20225,p.f,0.010859280253472582
pOcc,1,20225,s.B,0.008371144671395488
pOcc,1,20225,s.c,0.0022771790212837515
pOcc,1,20225,s.M,0.039397190917641864
pOcc,1,20225,s.N,2.433735891022323e-4
pOcc,1,20225,sdd.max,0
pOcc,1,20225,sdd.rate,0.04907065205546508
pOcc,1,21669,bird.hab,2.581676649338975e-4
pOcc,1,21669,g.B,0.017927757846553084
pOcc,1,21669,gamma,0.001077467020908588
pOcc,1,21669,K,0
pOcc,1,21669,m,0.36648327959364946
pOcc,1,21669,mu,0.019308562339513387
pOcc,1,21669,N.0,5.912975322701934e-5
pOcc,1,21669,n.ldd,0.4735202401986514
pOcc,1,21669,p,0.007855983261609821
pOcc,1,21669,p.c,9.907151610535102e-4
pOcc,1,21669,p.f,0.011107940985062936
pOcc,1,21669,s.B,0.008051538134191948
pOcc,1,21669,s.c,0.0022710390284616197
pOcc,1,21669,s.M,0.03992039744437969
pOcc,1,21669,s.N,2.0896095100348102e-4
pOcc,1,21669,sdd.max,0
pOcc,1,21669,sdd.rate,0.05095882061680013
pOcc,1,23114,bird.hab,3.0293254852418983e-4
pOcc,1,23114,g.B,0.017437585060088107
pOcc,1,23114,gamma,0.00102584544914094
pOcc,1,23114,K,3.243549316748501e-5
