x,y,x_y,Opn,Oth,Dec,Evg,WP,Mxd,lon,lat,inbd,id,id.in,in.UNH,Property,id.full,id.in.full
35,26,35_26,0.034487629,0.128237474,0.22104027,0.010190399,0.051754595,0.554289641,804000,4800000,TRUE,76,76,FALSE,NA,1585,1142
36,26,36_26,0.018312823,0.055240171,0.246672989,0.015574819,0.057113702,0.607085503,807000,4800000,TRUE,77,77,FALSE,NA,1586,1143
37,26,37_26,0.020524974,0.085419417,0.185216458,0.034894067,0.0830217,0.5909234,810000,4800000,TRUE,78,78,FALSE,NA,1587,1144
38,26,38_26,0.107862141,0.155495031,0.160469946,0.019554375,0.080401388,0.476217108,813000,4800000,TRUE,79,79,FALSE,NA,1588,1145
39,26,39_26,0.089323172,0.126607396,0.101797864,0.020028912,0.103309938,0.558932734,816000,4800000,TRUE,80,80,FALSE,NA,1589,1146
40,26,40_26,0.128129388,0.162780306,0.182186823,0.006995937,0.07587295,0.444034599,819000,4800000,TRUE,81,81,FALSE,NA,1590,1147
41,26,41_26,0.243441744,0.102583225,0.250385263,0.004905391,0.047904468,0.350779905,822000,4800000,TRUE,82,82,FALSE,NA,1591,1148
42,26,42_26,0.478898554,0.148814183,0.092009222,0.004422481,0.069382222,0.206473342,825000,4800000,TRUE,83,83,FALSE,NA,1592,1149
43,26,43_26,0.273644328,0.117341012,0.110340745,0.011088035,0.093241436,0.394344449,828000,4800000,TRUE,84,84,FALSE,NA,1593,1150
44,26,44_26,0.228014228,0.129257966,0.119042296,0.00944019,0.155426654,0.358818664,831000,4800000,TRUE,85,85,FALSE,NA,1594,1151
45,26,45_26,0.632495266,0.140789226,0.060184409,0.001339292,0.069390077,0.095801744,834000,4800000,TRUE,86,86,FALSE,NA,1595,1152
46,26,46_26,0.254075754,0.151218675,0.048696835,0.017869715,0.094841025,0.433298005,837000,4800000,TRUE,87,87,FALSE,NA,1596,1153
47,26,47_26,0.256571426,0.217395913,0.037220275,0.009504994,0.07012971,0.409177694,840000,4800000,TRUE,88,88,FALSE,NA,1597,1154
48,26,48_26,0.222880246,0.157416883,0.066317736,0.01005755,0.070720962,0.472606637,843000,4800000,TRUE,89,89,FALSE,NA,1598,1155
49,26,49_26,0.202834049,0.00826148,0.034734669,0.021113596,0.219417921,0.513638288,846000,4800000,TRUE,90,90,FALSE,NA,1599,1156
50,26,50_26,0.10675911,0.009313911,0.091074483,0.022574101,0.079739764,0.690538634,849000,4800000,TRUE,91,91,FALSE,NA,1600,1157
51,26,51_26,0.148292422,0.035099085,0.087241875,0.025533117,0.158244122,0.54558937,852000,4800000,TRUE,92,92,FALSE,NA,1601,1158
29,27,29_27,0.191249447,0.109630178,0.275560251,0.052760938,0.261277753,0.109521434,786000,4797000,TRUE,93,93,FALSE,NA,1641,1184
30,27,30_27,0.147932755,0.120040288,0.26065067,0.040676471,0.236300911,0.194398907,789000,4797000,TRUE,94,94,FALSE,NA,1642,1185
31,27,31_27,0.166674372,0.227739295,0.169364382,0.05006224,0.262506823,0.123652887,792000,4797000,TRUE,95,95,FALSE,NA,1643,1186
32,27,32_27,0.080654312,0.08234097,0.209130445,0.046609112,0.194674076,0.386591081,795000,4797000,TRUE,96,96,FALSE,NA,1644,1187
33,27,33_27,0.065574898,0.146662859,0.265654982,0.004583237,0.049335159,0.468188879,798000,4797000,TRUE,97,97,FALSE,NA,1645,1188
34,27,34_27,0.071216281,0.138055557,0.343115983,0.010189921,0.034282329,0.403139935,801000,4797000,TRUE,98,98,FALSE,NA,1646,1189
35,27,35_27,0.076803614,0.265552483,0.152970001,0.00574873,0.020523221,0.47840193,804000,4797000,TRUE,99,99,FALSE,NA,1647,1190
36,27,36_27,0.0834996,0.326205825,0.128183508,0.004686357,0.031689794,0.425734915,807000,4797000,TRUE,100,100,FALSE,NA,1648,1191
37,27,37_27,0.102909673,0.315598028,0.240751513,0.004937779,0.027659386,0.308143616,810000,4797000,TRUE,101,101,FALSE,NA,1649,1192
38,27,38_27,0.119259803,0.078408333,0.226923724,0.012254258,0.024973992,0.538179892,813000,4797000,TRUE,102,102,FALSE,NA,1650,1193
39,27,39_27,0.112403952,0.102243761,0.118993915,0.01399992,0.091526308,0.560832119,816000,4797000,TRUE,103,103,FALSE,NA,1651,1194
40,27,40_27,0.077609233,0.179797116,0.091166285,0.009444763,0.093996472,0.547986121,819000,4797000,TRUE,104,104,FALSE,NA,1652,1195
41,27,41_27,0.17098574,0.085899332,0.15750267,0.002453433,0.131613783,0.451545045,822000,4797000,TRUE,105,105,FALSE,NA,1653,1196
42,27,42_27,0.227556476,0.182232322,0.119573569,0.008014715,0.090758612,0.371864292,825000,4797000,TRUE,106,106,FALSE,NA,1654,1197
43,27,43_27,0.194316941,0.303798767,0.102938322,0.003581419,0.112172157,0.283192406,828000,4797000,TRUE,107,107,FALSE,NA,1655,1198
44,27,44_27,0.358117473,0.139422802,0.078365214,0.005364732,0.091497816,0.327231963,831000,4797000,TRUE,108,108,FALSE,NA,1656,1199
45,27,45_27,0.453438066,0.184105254,0.087046167,0.002297089,0.047387118,0.225726291,834000,4797000,TRUE,109,109,FALSE,NA,1657,1200
46,27,46_27,0.371869579,0.246910416,0.082582624,0.003773191,0.062616634,0.232247544,837000,4797000,TRUE,110,110,FALSE,NA,1658,1201
47,27,47_27,0.457921594,0.167036556,0.022331412,0.0083648,0.086711755,0.257633873,840000,4797000,TRUE,111,111,FALSE,NA,1659,1202
48,27,48_27,0.253251163,0.046155869,0.031230143,0.012590045,0.170985326,0.485787439,843000,4797000,TRUE,112,112,FALSE,NA,1660,1203
49,27,49_27,0.178932627,0.004868056,0.063735944,0.028813485,0.145771442,0.577878463,846000,4797000,TRUE,113,113,FALSE,NA,1661,1204
50,27,50_27,0.079569982,0.004976477,0.158593233,0.085712206,0.11701128,0.554136818,849000,4797000,TRUE,114,114,FALSE,NA,1662,1205
51,27,51_27,0.137439504,0.023455113,0.107567827,0.038560793,0.120844112,0.572132672,852000,4797000,TRUE,115,115,FALSE,NA,1663,1206
29,28,29_28,0.227713828,0.126317559,0.342830803,0.023623079,0.117186624,0.162328125,786000,4794000,TRUE,116,116,FALSE,NA,1703,1232
30,28,30_28,0.028242591,0.090372693,0.543815862,0.019042075,0.038892117,0.279634653,789000,4794000,TRUE,117,117,FALSE,NA,1704,1233
31,28,31_28,0.127185512,0.071439357,0.369511489,0.041221706,0.131251674,0.25939026,792000,4794000,TRUE,118,118,FALSE,NA,1705,1234
32,28,32_28,0.238998422,0.1452697,0.166289456,0.026148188,0.18147153,0.241822701,795000,4794000,TRUE,119,119,FALSE,NA,1706,1235
33,28,33_28,0.143446649,0.088126017,0.224511888,0.008210515,0.078498938,0.457205989,798000,4794000,TRUE,120,120,FALSE,NA,1707,1236
34,28,34_28,0.105959589,0.219704662,0.133666094,0.009121338,0.058217935,0.473330372,801000,4794000,TRUE,121,121,FALSE,NA,1708,1237
35,28,35_28,0.165274969,0.263588897,0.086414605,0.021892658,0.073069566,0.38975931,804000,4794000,TRUE,122,122,FALSE,NA,1709,1238
