cellID,lon,lat,Dec,Evg,Mxd,Opn,Oth,WP
407,741000,4797000,0.289449443278361,0.0576884832583708,0.26477068115942,0.0799033394302849,0.146106034982509,0.162081994002998
408,741000,4800000,0.379008671164418,0.0868939046476762,0.315032715142429,0.106082609995003,0.047272972163918,0.0657091050474763
409,741000,4803000,0.612749893553223,0.0480076508245877,0.170226476761619,0.0599347133433283,0.0845697113943028,0.0245115592203898
410,741000,4806000,0.382503277361319,0.153663380809595,0.249687621189405,0.0572575539230385,0.0838295015492254,0.0730586523238381
411,741000,4809000,0.123794229885057,0.286516427286357,0.199186444277861,0.100716775262369,0.123943444277861,0.16584267816092
412,741000,4812000,0.109521526086957,0.103375119390305,0.18735991804098,0.226670567216392,0.196498382308846,0.176574471764118
413,741000,4815000,0.187408352823588,0.11211776061969,0.194809332333833,0.103127010744628,0.258833859070465,0.143703694152924
414,741000,4818000,0.303390134932534,0.35589211944028,0.285596884057971,0.0199652946526737,0.032646647976012,0.00250889542465767
415,741000,4821000,0.532371698650675,0.198326872563718,0.19534695852074,0.0240949508745627,0.0437532156421789,0.00610630145677161
416,741000,4824000,0.553227503248376,0.213235436781609,0.22302923888056,8.72599303423288e-4,0.00877587534982509,8.59340968795602e-4
417,741000,4827000,0.506752103448276,0.114677153923038,0.236704981009495,0.0579756695152424,0.0398717276361819,0.0440183653173413
418,741000,4830000,0.380305755122439,0.169687372313843,0.268782964517741,0.0606909009495252,0.0568196338330835,0.0637133522738631
419,741000,4833000,0.584334672163918,0.117277337331334,0.2406898005997,0.0152746866666667,0.0197489994052974,0.0226745065467266
420,741000,4836000,0.241551983008496,0.19904135832084,0.32038535882059,0.102452699050475,0.0548732776611694,0.0816953151924038
421,741000,4839000,0.112967882908546,0.154835948025987,0.227692215892054,0.178075157421289,0.139562657171414,0.186866142928536
422,741000,4842000,0.327290602698651,0.140116751624188,0.156873005497251,0.164398506246877,0.0578997575212394,0.153421337831084
423,741000,4845000,0.313333264867566,0.171140100449775,0.253907029485257,0.0398955471764118,0.103802136881559,0.117921922538731
424,741000,4848000,0.686719637181409,0.0803572135432284,0.169182231384308,0.0145300035182409,0.0220335183158421,0.0271773872063968
425,741000,4851000,0.604241445777111,0.167883423788106,0.129224337331334,0.0561592954522739,0.0418466939530235,6.4479861544078e-4
426,741000,4854000,0.681389579710145,0.120510131434283,0.143591151424288,0.0152116366566717,0.0377845989505247,0.00151290567185807
427,744000,4737000,0.170612644677661,0.108611212993503,0.324191709645177,0.106824710144928,0.193805541729135,0.095954195852074
428,744000,4740000,0.220185643678161,0.0605931303348326,0.310956009995003,0.12535448125937,0.223110216891554,0.0598005316341829
429,744000,4743000,0.182273544727636,0.0762003584207896,0.330001617691154,0.108068627186407,0.194477410294853,0.108978428085957
430,744000,4746000,0.0731016523738131,0.126329064967516,0.155665652673663,0.233583316841579,0.174853509245377,0.236466807596202
431,744000,4749000,0.161153257371314,0.163702196401799,0.326327543228386,0.0954296986506747,0.0828935500749625,0.170493745627186
432,744000,4752000,0.313207859070465,0.0549992566716642,0.346604749625187,0.0608353291354323,0.160007972513743,0.0643448176411794
433,744000,4755000,0.255675970514743,0.0460048328335832,0.357720828585707,0.114000627686157,0.152675484257871,0.0739222452773613
434,744000,4758000,0.18867223888056,0.0683621623688156,0.466837985507246,0.0372663941529235,0.143011277361319,0.0958499791604198
435,744000,4761000,0.299425465267366,0.0986123046976512,0.351883617191404,0.0515116741629185,0.100729014442779,0.0978379202898551
436,744000,4764000,0.26397531884058,0.052639811844078,0.33749724187906,0.112289682658671,0.152392982508746,0.0812049726136932
437,744000,4767000,0.353716052473763,0.144060915542229,0.362218967516242,0.00716208527186407,0.0483669657171414,0.0844750071964018
438,744000,4770000,0.397547547226387,0.0645461357321339,0.318659049975012,0.0194787374312844,0.135197407296352,0.0645711444777611
439,744000,4773000,0.32748443978011,0.0688551375312344,0.435833676661669,0.0414444291354323,0.0917595672663668,0.0346227543228386
